Time Period,RXI$US_N.B.EU,RXI$US_N.B.UK,RXI_N.B.BZ,RXI_N.B.CH,RXI_N.B.DN,RXI_N.B.IN,RXI_N.B.JA,RXI_N.B.KO,RXI_N.B.MA,RXI_N.B.MX,RXI_N.B.NO,RXI_N.B.SD,RXI_N.B.SF,RXI_N.B.SI,RXI_N.B.SZ,RXI_N.B.TA,RXI_N.B.TH,RXI_N.B.VE,JRXWTFB_N.B,JRXWTFN_N.B,JRXWTFO_N.B,RXI$US_N.B.AL,RXI$US_N.B.NZ,RXI_N.B.CA,RXI_N.B.HK,RXI_N.B.SL
1997-08-22,,1.6081,1.0925,8.3190,6.9365,36.4000,117.2600,902.0000,2.7750,7.7830,7.5810,7.9430,4.6900,1.4947,1.4978,28.8000,33.6500,0.4965,104.9721,94.9436,104.3014,0.7482,0.6470,1.3948,7.7445,59.1000
1997-08-25,,1.6052,1.0923,8.3190,6.9400,36.6000,118.7300,907.0000,2.7735,7.7600,7.5975,7.9700,4.6955,1.4940,1.4996,28.8000,33.7000,0.4963,105.1659,95.2867,104.2357,0.7463,0.6465,1.3917,7.7430,59.2000
1997-08-26,,1.6121,1.0925,8.3190,6.8495,36.5000,118.3200,902.0000,2.7890,7.7575,7.4920,7.8850,4.6940,1.4940,1.4875,28.8000,33.6500,0.4968,104.9239,94.8526,104.3268,0.7465,0.6460,1.3951,7.7435,59.2000
1997-08-27,,1.6103,1.0912,8.3192,6.8950,36.5000,118.8800,905.0000,2.8390,7.7590,7.4975,7.8790,4.6975,1.5170,1.4965,28.7800,33.9000,0.4970,105.2520,95.1366,104.6725,0.7400,0.6435,1.3917,7.7450,59.2500
1997-08-28,,1.6158,1.0920,8.3185,6.8450,36.4500,118.7500,905.0000,2.9325,7.7725,7.4285,7.8320,4.7040,1.5265,1.4833,28.8000,34.4000,0.4978,105.1988,94.7773,105.1025,0.7365,0.6433,1.3878,7.7467,59.1500
1997-08-29,,1.6203,1.0915,8.3184,6.8760,36.4800,120.6500,905.0000,2.9200,7.7850,7.4780,7.8770,4.6930,1.5150,1.4889,28.8200,34.5000,0.4975,105.5356,95.2904,105.1131,0.7345,0.6385,1.3890,7.7500,59.4000
1997-09-01,,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1997-09-02,,1.5897,1.0920,8.3183,6.9810,36.5700,121.5500,905.6000,2.9270,7.7780,7.5860,7.9300,4.7040,1.5160,1.5060,28.9000,34.5500,0.4960,106.1006,96.0323,105.3178,0.7265,0.6335,1.3845,7.7490,60.4000
1997-09-03,,1.5846,1.0918,8.3189,6.9080,36.4800,121.0300,907.0000,2.9820,7.7730,7.5025,7.8536,4.7015,1.5175,1.4986,28.9000,35.7500,0.4964,105.9814,95.6457,105.6305,0.7258,0.6342,1.3837,7.7478,59.8700
1997-09-04,,1.5855,1.0930,8.3191,6.9180,36.5100,120.7200,909.0000,2.9950,7.7890,7.5040,7.8680,4.7040,1.5190,1.4970,28.7500,35.9500,0.4963,106.0438,95.6383,105.7915,0.7321,0.6378,1.3858,7.7485,59.4000
1997-09-05,,1.5920,1.0918,8.3184,6.8545,37.0000,121.0900,909.0000,2.9500,7.8075,7.3948,7.7910,4.6920,1.5150,1.4753,28.7000,35.1500,0.4969,105.7017,95.2760,105.5338,0.7308,0.6361,1.3824,7.7477,59.6000
1997-09-08,,1.5827,1.0912,ND,6.8870,36.5600,121.0200,910.0000,2.9175,7.7850,7.4468,7.7685,4.6921,1.5065,1.4875,28.9000,34.2500,0.4969,ND,95.4725,ND,0.7300,0.6374,1.3830,7.7475,59.5200
1997-09-09,,1.5882,1.0910,8.3181,6.9000,36.6600,119.0500,911.0000,2.9150,7.7800,7.4535,7.7990,4.7025,1.5030,1.4885,28.9000,33.5500,0.4963,105.4381,95.1445,105.1058,0.7300,0.6360,1.3845,7.7457,59.5500
1997-09-10,,1.5890,1.0917,8.3187,6.8420,36.4700,119.2600,911.0000,2.9165,7.7775,7.4140,7.7985,4.7025,1.5070,1.4774,28.7000,34.2000,0.4958,105.3742,94.9704,105.2230,0.7270,0.6358,1.3852,7.7453,59.7500
1997-09-11,,1.5968,1.0919,8.3189,6.7755,36.6500,119.5800,911.0000,2.9575,7.7800,7.3160,7.7485,4.6960,1.5120,1.4710,28.7000,35.0000,0.4963,105.4160,94.8596,105.4963,0.7200,0.6330,1.3920,7.7460,59.7500
1997-09-12,,1.6085,1.0923,8.3181,6.7470,36.6000,120.9300,911.0000,2.9690,7.7775,7.2925,7.6630,4.6890,1.5130,1.4662,28.7000,35.3000,0.4968,105.4645,94.9148,105.5268,0.7215,0.6340,1.3935,7.7460,59.8000
1997-09-15,,1.6042,1.0925,8.3181,6.7090,36.4600,120.4000,911.0000,2.9760,7.7675,7.2630,7.6200,4.6750,1.5080,1.4494,28.7000,35.3500,0.4953,105.2441,94.5932,105.4992,0.7199,0.6360,1.3922,7.7455,59.7000
1997-09-16,,1.5941,1.0940,8.3171,6.7240,36.6500,121.1000,911.0000,3.0000,7.7670,7.2950,7.6290,4.6800,1.5110,1.4480,28.7000,35.6500,0.4970,105.4889,94.8816,105.6375,0.7165,0.6337,1.3914,7.7445,59.6800
1997-09-17,,1.5985,1.0940,8.3175,6.7440,36.4600,120.9900,911.0000,3.0100,7.7500,7.1910,7.6210,4.6825,1.5165,1.4593,28.6500,35.9500,0.4970,105.5296,94.8812,105.7363,0.7163,0.6363,1.3888,7.7452,59.7000
1997-09-18,,1.6137,1.0945,8.3173,6.7690,36.4000,121.9800,912.0000,3.0200,7.7650,7.2255,7.6150,4.6780,1.5185,1.4665,28.7000,35.6000,0.4970,105.7348,95.1260,105.8473,0.7165,0.6305,1.3911,7.7427,59.6000
1997-09-19,,1.6112,1.0940,8.3164,6.7490,36.5000,121.9300,916.0000,3.0360,7.7525,7.2175,7.6050,4.6775,1.5180,1.4588,28.7000,35.8500,0.4971,105.6972,94.9983,105.9567,0.7203,0.6335,1.3902,7.7422,59.6500
1997-09-22,,1.6025,1.0950,8.3159,6.8330,36.4000,122.2500,916.0000,3.1250,7.7250,7.2855,7.6950,4.7040,1.5285,1.4726,28.7000,36.5500,0.4973,106.1062,95.5069,106.1463,0.7195,0.6347,1.3890,7.7420,59.6300
